"name","liga","league","division","location","mascot","logo","team","primary","secondary","tertiary","quaternary"
"Arizona Diamondbacks","NL","mlb","NL West","Arizona","Diamondbacks","https://www.mlbstatic.com/team-logos/team-cap-on-light/109.svg","ARI","#A71930","#E3D4AD","#000000","#30CED8"
"Atlanta Braves","NL","mlb","NL East","Atlanta","Braves","https://www.mlbstatic.com/team-logos/team-cap-on-light/144.svg","ATL","#CE1141","#13274F","#EAAA00","#CE1141"
"Baltimore Orioles","AL","mlb","AL East","Baltimore","Orioles","https://www.mlbstatic.com/team-logos/team-cap-on-light/110.svg","BAL","#DF4601","#000000","#FC4C02","#27251F"
"Boston Red Sox","AL","mlb","AL East","Boston","Red Sox","https://www.mlbstatic.com/team-logos/team-cap-on-light/111.svg","BOS","#BD3039","#0C2340",NA,NA
"Chicago Cubs","NL","mlb","NL Central","Chicago","Cubs","https://www.mlbstatic.com/team-logos/team-cap-on-light/112.svg","CHC","#0E3386","#CC3433",NA,NA
"Chicago White Sox","AL","mlb","AL Central","Chicago","White Sox","https://www.mlbstatic.com/team-logos/team-cap-on-light/145.svg","CHW","#27251F","#C4CED4","#002663","#CC092F"
"Cincinnati Reds","NL","mlb","NL Central","Cincinnati","Reds","https://www.mlbstatic.com/team-logos/team-cap-on-light/113.svg","CIN","#C6011F","#000000",NA,NA
"Cleveland Indians","AL","mlb","AL Central","Cleveland","Indians","https://www.mlbstatic.com/team-logos/team-cap-on-light/114.svg","CLE","#0C2340","#E31937",NA,NA
"Colorado Rockies","NL","mlb","NL West","Colorado","Rockies","https://www.mlbstatic.com/team-logos/team-cap-on-light/115.svg","COL","#33006F","#C4CED4","#000000","#24135F"
"Detroit Tigers","AL","mlb","AL Central","Detroit","Tigers","https://www.mlbstatic.com/team-logos/team-cap-on-light/116.svg","DET","#0C2340","#FA4616",NA,NA
"Houston Astros","AL","mlb","AL West","Houston","Astros","https://www.mlbstatic.com/team-logos/team-cap-on-light/117.svg","HOU","#002D62","#EB6E1F","#F4911E","#9A3324"
"Kansas City Royals","AL","mlb","AL Central","Kansas City","Royals","https://www.mlbstatic.com/team-logos/team-cap-on-light/118.svg","KCR","#004687","#BD9B60","#001489","#85714D"
"Los Angeles Angels","AL","mlb","AL West","Los Angeles","Angels","https://www.mlbstatic.com/team-logos/team-cap-on-light/108.svg","LAA","#003263","#BA0021","#862633","#C4CED4"
"Los Angeles Dodgers","NL","mlb","NL West","Los Angeles","Dodgers","https://www.mlbstatic.com/team-logos/team-cap-on-light/119.svg","LAD","#005A9C","#EF3E42","#A5ACAF",NA
"Miami Marlins","NL","mlb","NL East","Miami","Marlins","https://www.mlbstatic.com/team-logos/team-cap-on-light/146.svg","MIA","#00A3E0","#EF3340","#41748D","#000000"
"Milwaukee Brewers","NL","mlb","NL Central","Milwaukee","Brewers","https://www.mlbstatic.com/team-logos/team-cap-on-light/158.svg","MIL","#ffc52f","#12284b","#ffffff","#0a2351"
"Minnesota Twins","AL","mlb","AL Central","Minnesota","Twins","https://www.mlbstatic.com/team-logos/team-cap-on-light/142.svg","MIN","#002B5C","#D31145","#B9975B","#0C2340"
"New York Mets","NL","mlb","NL East","New York","Mets","https://www.mlbstatic.com/team-logos/team-cap-on-light/121.svg","NYM","#002D72","#FF5910",NA,NA
"New York Yankees","AL","mlb","AL East","New York","Yankees","https://www.mlbstatic.com/team-logos/team-cap-on-light/147.svg","NYY","#003087","#E4002C","#0C2340",NA
"Oakland Athletics","AL","mlb","AL West","Oakland","Athletics","https://www.mlbstatic.com/team-logos/team-cap-on-light/133.svg","OAK","#003831","#EFB21E","#a2aaad","#115740"
"Philadelphia Phillies","NL","mlb","NL East","Philadelphia","Phillies","https://www.mlbstatic.com/team-logos/team-cap-on-light/143.svg","PHI","#E81828","#002d72","#E81828","#284898"
"Pittsburgh Pirates","NL","mlb","NL Central","Pittsburgh","Pirates","https://www.mlbstatic.com/team-logos/team-cap-on-light/134.svg","PIT","#27251F","#FDB827","#27251F","#FFC72C"
"San Diego Padres","NL","mlb","NL West","San Diego","Padres","https://www.mlbstatic.com/team-logos/team-cap-on-light/135.svg","SDP","#2F241D","#FFC425","#002d62","#A2AAAD"
"San Francisco Giants","NL","mlb","NL West","San Francisco","Giants","https://www.mlbstatic.com/team-logos/team-cap-on-light/137.svg","SFG","#FD5A1E","#27251F","#EFD19F","#AE8F6F"
"Seattle Mariners","AL","mlb","AL West","Seattle","Mariners","https://www.mlbstatic.com/team-logos/team-cap-on-light/136.svg","SEA","#0C2C56","#005C5C","#C4CED4","#D50032"
"St. Louis Cardinals","NL","mlb","NL Central","St. Louis","Cardinals","https://www.mlbstatic.com/team-logos/team-cap-on-light/138.svg","STL","#C41E3A","#0C2340","#FEDB00",NA
"Tampa Bay Rays","AL","mlb","AL East","Tampa Bay","Rays","https://www.mlbstatic.com/team-logos/team-cap-on-light/139.svg","TBR","#092C5C","#8FBCE6","#F5D130","#FFFFFF"
"Texas Rangers","AL","mlb","AL West","Texas","Rangers","https://www.mlbstatic.com/team-logos/team-cap-on-light/140.svg","TEX","#003278","#C0111F","#002D72","#BA0C2F"
"Toronto Blue Jays","AL","mlb","AL East","Toronto","Blue Jays","https://www.mlbstatic.com/team-logos/team-cap-on-light/141.svg","TOR","#134A8E","#1D2D5C","#E8291C","#006BA6"
"Washington Nationals","NL","mlb","NL East","Washington","Nationals","https://www.mlbstatic.com/team-logos/team-cap-on-light/120.svg","WSN","#AB0003","#14225A","#FFFFFF",NA
